Term,Type,ECSS Standards,Branches
EP,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-20-06C Rev.1']",['E']
FEEP,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-20-06C Rev.1']",['E']
GSO,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-50-05C Rev. 2']",['E']
IATA,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
MPD,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-Q-ST-70-80C']","['E', 'Q']"
NPSP,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
NTO,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
OBC,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-50-13C', 'ECSS-E-ST-20C Rev.2']",['E']
ODE,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
PACT,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
PCU,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
PED,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-Q-ST-40C Rev.1']","['E', 'Q']"
PMD,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-50-16C']",['E']
PPT,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
RFNA,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
STD,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-Q-ST-20-10C']","['E', 'Q']"
TBI,abbreviation,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-33-11C Rev.1']",['E']
TCA,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
TEG,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
UDMH,abbreviation,['ECSS-E-ST-35C Rev. 1'],['E']
CMMI,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
CPU,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-31-04C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
DDR,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-70-01C', 'ECSS-Q-ST-60-02C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
eo,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
GS,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-70C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
HSIA,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-30-02C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-30C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
HW,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-20-08C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
INTRSA,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
ISV,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
ISVV,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
MGT,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
MF,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
MOTS,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
OBCP,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-70-41C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-M-ST-60C', 'ECSS-Q-ST-80C Rev.1']","['E', 'M', 'Q']"
OP,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
OTS,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-10-24C', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-20-10C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
PAF,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
RB,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-30-02C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
SCAMPI,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
SDE,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-70-01C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
SPA,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
SPAMR,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
SPAP,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
SPR,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-70C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
SRB,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
SW,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-50-16C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
SWE,abbreviation,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1']","['E', 'Q']"
TRR,abbreviation,"['ECSS-E-ST-40C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-20C Rev.2', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-20-08C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-60C Rev. 3', 'ECSS-Q-ST-70-61C', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
AGC,abbreviation,['ECSS-E-ST-50-02C'],['E']
AU,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-Q-ST-70-05C Rev.1']","['E', 'Q']"
2BL,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
BPSK,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
CLCW,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
C/N,abbreviation,['ECSS-E-ST-50-02C'],['E']
dB,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
dBc,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
DRVID,abbreviation,['ECSS-E-ST-50-02C'],['E']
IF,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-20-01C']",['E']
LO,abbreviation,['ECSS-E-ST-50-02C'],['E']
NRZ,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
NRZ-L,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
PM,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2', 'ECSS-Q-ST-20C Rev.2 Corr.1']","['E', 'Q']"
PSK,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-AS-50-21C']",['E']
Pp,abbreviation,['ECSS-E-ST-50-02C'],['E']
SNR,abbreviation,['ECSS-E-ST-50-02C'],['E']
SP-L,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
TR,abbreviation,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-10-03C Rev.1']",['E']
AKE,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-60-10C']",['E']
APE,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-60-10C']",['E']
ATB,abbreviation,['ECSS-E-ST-60-30C'],['E']
ECEF,abbreviation,['ECSS-E-ST-60-30C'],['E']
FD,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-33-01C Rev.2']",['E']
GNC,abbreviation,['ECSS-E-ST-60-30C'],['E']
GNSS,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-50-13C', 'ECSS-E-ST-10-04C Rev.1']",['E']
LEOP,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-70C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'S']"
MRD,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-M-ST-10-01C']","['E', 'M']"
P/L,abbreviation,['ECSS-E-ST-60-30C'],['E']
PRD,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-M-ST-10C Rev. 1', 'ECSS-S-ST-00C Rev.1']","['E', 'M', 'S']"
RKE,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-60-10C']",['E']
RPE,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-60-10C']",['E']
SRD,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-M-ST-10-01C']","['E', 'M']"
SSUM,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-70C']",['E']
TBS,abbreviation,"['ECSS-E-ST-60-30C', 'ECSS-E-ST-20-08C Rev. 1']",['E']
API,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-31-04C', 'ECSS-E-ST-50-16C']",['E']
ATC,abbreviation,['ECSS-E-ST-50-13C'],['E']
ATR,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-Q-ST-70-05C Rev.1']","['E', 'Q']"
BC,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
BM,abbreviation,['ECSS-E-ST-50-13C'],['E']
CF,abbreviation,['ECSS-E-ST-50-13C'],['E']
CUC,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-70-41C']",['E']
CW,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-20-07C Rev. 2']",['E']
DDC,abbreviation,['ECSS-E-ST-50-13C'],['E']
DHS,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-50-14C']",['E']
DTD,abbreviation,['ECSS-E-ST-50-13C'],['E']
DW,abbreviation,['ECSS-E-ST-50-13C'],['E']
GND,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-16C', 'ECSS-Q-ST-70-12C']","['E', 'Q']"
ID,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-50-51C', 'ECSS-E-ST-50-52C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-70-41C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-16C', 'ECSS-Q-ST-70-17C', 'ECSS-S-ST-00C Rev.1']","['E', 'Q', 'S']"
I/O,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-70-01C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70C', 'ECSS-Q-ST-70-12C', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
LSB,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-50-14C', 'ECSS-E-ST-50-52C', 'ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-15C', 'ECSS-E-ST-70-41C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
MSB,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-50-14C', 'ECSS-E-ST-50-52C', 'ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-15C', 'ECSS-E-ST-70-41C', 'ECSS-E-ST-50-12C Rev.1']",['E']
N,abbreviation,['ECSS-E-ST-50-13C'],['E']
N/A,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-33-11C Rev.1', 'ECSS-E-ST-32-10C Rev.2 Corr.1', 'ECSS-M-ST-10C Rev. 1', 'ECSS-Q-ST-20-08C', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
NC,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-33-11C Rev.1', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-Q-ST-70-17C']","['E', 'Q']"
OBT,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70-31C']",['E']
PDU,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-50-15C']",['E']
PUS,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-70C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-70-41C']",['E']
R,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-32-01C Rev. 2']",['E']
RD,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-Q-ST-70-14C']","['E', 'Q']"
RT,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-70-02C', 'ECSS-Q-ST-70-15C']","['E', 'Q']"
SA,abbreviation,['ECSS-E-ST-50-13C'],['E']
SDBP,abbreviation,['ECSS-E-ST-50-13C'],['E']
SOIS,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-50-52C']",['E']
SYNCH,abbreviation,['ECSS-E-ST-50-13C'],['E']
T,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-33-01C Rev.2', 'ECSS-E-ST-20C Rev.2', 'ECSS-Q-ST-70-29C']","['E', 'Q']"
TBC,abbreviation,['ECSS-E-ST-50-13C'],['E']
TBW,abbreviation,['ECSS-E-ST-50-13C'],['E']
TSC,abbreviation,['ECSS-E-ST-50-13C'],['E']
UML,abbreviation,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-31-04C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
A/D,abbreviation,"['ECSS-E-ST-50-14C', 'ECSS-E-ST-33-01C Rev.2', 'ECSS-Q-ST-30-11C Rev.2', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
ASM,abbreviation,['ECSS-E-ST-50-14C'],['E']
BDM,abbreviation,['ECSS-E-ST-50-14C'],['E']
BSD,abbreviation,['ECSS-E-ST-50-14C'],['E']
BSM,abbreviation,['ECSS-E-ST-50-14C'],['E']
CM,abbreviation,"['ECSS-E-ST-50-14C', 'ECSS-E-ST-50-16C', 'ECSS-M-ST-40C Rev. 1']","['E', 'M']"
HPC,abbreviation,['ECSS-E-ST-50-14C'],['E']
HC-HPC,abbreviation,['ECSS-E-ST-50-14C'],['E']
HV-HPC,abbreviation,['ECSS-E-ST-50-14C'],['E']
ISD,abbreviation,['ECSS-E-ST-50-14C'],['E']
LPC,abbreviation,['ECSS-E-ST-50-14C'],['E']
LPC-P,abbreviation,['ECSS-E-ST-50-14C'],['E']
LPC-S,abbreviation,['ECSS-E-ST-50-14C'],['E']
LV-HPC,abbreviation,['ECSS-E-ST-50-14C'],['E']
OSD,abbreviation,['ECSS-E-ST-50-14C'],['E']
TSM,abbreviation,['ECSS-E-ST-50-14C'],['E']
EEP,abbreviation,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-52C', 'ECSS-E-ST-50-53C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
EOP,abbreviation,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-52C', 'ECSS-E-ST-50-53C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
FIFO,abbreviation,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-52C', 'ECSS-E-ST-50-15C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
RMAP,abbreviation,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-52C', 'ECSS-E-ST-50-11C']",['E']
VHSIC,abbreviation,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-52C']",['E']
CRC,abbreviation,"['ECSS-E-ST-50-52C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-70-41C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-16C', 'ECSS-Q-ST-70-12C']","['E', 'Q']"
FCT,abbreviation,"['ECSS-E-ST-50-52C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
inc,abbreviation,['ECSS-E-ST-50-52C'],['E']
Len,abbreviation,['ECSS-E-ST-50-52C'],['E']
LS,abbreviation,"['ECSS-E-ST-50-52C', 'ECSS-E-ST-70C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1']",['E']
RMW,abbreviation,['ECSS-E-ST-50-52C'],['E']
SpW,abbreviation,"['ECSS-E-ST-50-52C', 'ECSS-E-ST-50-53C', 'ECSS-E-ST-50-12C Rev.1']",['E']
SSNSAP,abbreviation,['ECSS-E-ST-50-52C'],['E']
VHDL,abbreviation,"['ECSS-E-ST-50-52C', 'ECSS-Q-ST-60-02C']","['E', 'Q']"
LTI,abbreviation,['ECSS-E-ST-60-10C'],['E']
MKE,abbreviation,['ECSS-E-ST-60-10C'],['E']
MPE,abbreviation,['ECSS-E-ST-60-10C'],['E']
PDE,abbreviation,['ECSS-E-ST-60-10C'],['E']
PDF,abbreviation,"['ECSS-E-ST-60-10C', 'ECSS-M-ST-40C Rev. 1', 'ECSS-Q-ST-30-09C']","['E', 'M', 'Q']"
PRE,abbreviation,['ECSS-E-ST-60-10C'],['E']
RSS,abbreviation,"['ECSS-E-ST-60-10C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
CPDU,abbreviation,"['ECSS-E-ST-70-01C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-70-41C']",['E']
EBNF,abbreviation,"['ECSS-E-ST-70-01C', 'ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C']",['E']
EGSE,abbreviation,"['ECSS-E-ST-70-01C', 'ECSS-E-ST-70C', 'ECSS-E-ST-70-32C', 'ECSS-E-ST-60-21C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-20C Rev.2', 'ECSS-M-ST-10C Rev. 1', 'ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-70-58C', 'ECSS-S-ST-00-01C']","['E', 'M', 'Q', 'S']"
MCS,abbreviation,['ECSS-E-ST-70-01C'],['E']
OBAP,abbreviation,['ECSS-E-ST-70-01C'],['E']
OBOP,abbreviation,['ECSS-E-ST-70-01C'],['E']
OBSW,abbreviation,"['ECSS-E-ST-70-01C', 'ECSS-E-ST-70C']",['E']
RAM,abbreviation,"['ECSS-E-ST-70-01C', 'ECSS-E-ST-70-11C', 'ECSS-E-ST-70C', 'ECSS-E-ST-70-41C', 'ECSS-Q-ST-20-10C', 'ECSS-Q-ST-30-09C']","['E', 'Q']"
APID,abbreviation,"['ECSS-E-ST-70-11C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-70-41C']",['E']
GPS,abbreviation,"['ECSS-E-ST-70-11C', 'ECSS-E-ST-70-41C', 'ECSS-Q-ST-30-09C']","['E', 'Q']"
MAP,abbreviation,"['ECSS-E-ST-70-11C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-70-41C']",['E']
RFI,abbreviation,"['ECSS-E-ST-70-11C', 'ECSS-E-ST-50-05C Rev. 2']",['E']
RFP,abbreviation,"['ECSS-E-ST-70-11C', 'ECSS-M-ST-10C Rev. 1']","['E', 'M']"
TT&C,abbreviation,"['ECSS-E-ST-70-11C', 'ECSS-E-ST-70C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-10-03C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'S']"
ATV,abbreviation,['ECSS-E-ST-70C'],['E']
CFISRD,abbreviation,['ECSS-E-ST-70C'],['E']
DFT,abbreviation,"['ECSS-E-ST-70C', 'ECSS-Q-ST-60-02C']","['E', 'Q']"
FAT,abbreviation,['ECSS-E-ST-70C'],['E']
FMEA,abbreviation,"['ECSS-E-ST-70C', 'ECSS-E-ST-20-21C', 'ECSS-Q-ST-20-10C', 'ECSS-Q-ST-30-02C', 'ECSS-Q-ST-40C Rev.1', 'ECSS-Q-ST-20-08C', 'ECSS-Q-ST-30C Rev.1', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
FQR,abbreviation,['ECSS-E-ST-70C'],['E']
FS,abbreviation,"['ECSS-E-ST-70C', 'ECSS-Q-ST-70-60C Corr.1']","['E', 'Q']"
GSAITP,abbreviation,['ECSS-E-ST-70C'],['E']
GSC,abbreviation,['ECSS-E-ST-70C'],['E']
GSCDR,abbreviation,['ECSS-E-ST-70C'],['E']
GSCRD,abbreviation,['ECSS-E-ST-70C'],['E']
GSDDF,abbreviation,['ECSS-E-ST-70C'],['E']
GSDJF,abbreviation,['ECSS-E-ST-70C'],['E']
GSEP,abbreviation,['ECSS-E-ST-70C'],['E']
GSPDR,abbreviation,['ECSS-E-ST-70C'],['E']
GSQR,abbreviation,['ECSS-E-ST-70C'],['E']
GSRD,abbreviation,['ECSS-E-ST-70C'],['E']
GSSRR,abbreviation,['ECSS-E-ST-70C'],['E']
GSS,abbreviation,['ECSS-E-ST-70C'],['E']
GSVP,abbreviation,['ECSS-E-ST-70C'],['E']
HCI,abbreviation,['ECSS-E-ST-70C'],['E']
IOOR,abbreviation,['ECSS-E-ST-70C'],['E']
LAN,abbreviation,"['ECSS-E-ST-70C', 'ECSS-E-ST-50-16C']",['E']
LIT,abbreviation,['ECSS-E-ST-70C'],['E']
LSP,abbreviation,['ECSS-E-ST-70C'],['E']
MAR,abbreviation,['ECSS-E-ST-70C'],['E']
MOCD,abbreviation,['ECSS-E-ST-70C'],['E']
MRT,abbreviation,['ECSS-E-ST-70C'],['E']
OAR,abbreviation,['ECSS-E-ST-70C'],['E']
OBSM,abbreviation,"['ECSS-E-ST-70C', 'ECSS-E-ST-70-31C']",['E']
OC,abbreviation,['ECSS-E-ST-70C'],['E']
OCRD,abbreviation,['ECSS-E-ST-70C'],['E']
OEP,abbreviation,['ECSS-E-ST-70C'],['E']
OPS,abbreviation,['ECSS-E-ST-70C'],['E']
OQR,abbreviation,['ECSS-E-ST-70C'],['E']
OS,abbreviation,['ECSS-E-ST-70C'],['E']
OTP,abbreviation,['ECSS-E-ST-70C'],['E']
OVP,abbreviation,['ECSS-E-ST-70C'],['E']
PLUTO,abbreviation,"['ECSS-E-ST-70C', 'ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C']",['E']
PROM,abbreviation,"['ECSS-E-ST-70C', 'ECSS-Q-ST-30-11C Rev.2']","['E', 'Q']"
REP,abbreviation,['ECSS-E-ST-70C'],['E']
ROM,abbreviation,"['ECSS-E-ST-70C', 'ECSS-M-ST-40C Rev. 1']","['E', 'M']"
SGICD,abbreviation,['ECSS-E-ST-70C'],['E']
SPEC,abbreviation,['ECSS-E-ST-70C'],['E']
SSC,abbreviation,['ECSS-E-ST-70C'],['E']
SSORD,abbreviation,['ECSS-E-ST-70C'],['E']
SSS,abbreviation,"['ECSS-E-ST-70C', 'ECSS-E-ST-20-20C', 'ECSS-E-ST-20-21C']",['E']
SSM,abbreviation,"['ECSS-E-ST-70C', 'ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-20-06C Rev.1']",['E']
8PSK,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
BTs,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
dBi,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
dBW,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
DRS,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
DS,abbreviation,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-12C Rev.1']",['E']
DSN,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
EES,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
EHF,abbreviation,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-20-07C Rev. 2']",['E']
EIRP,abbreviation,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50C Rev. 1']",['E']
epfd,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
E/S,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
FIR,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
fN,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
ft,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
GMSK,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
G/T,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
ITU,abbreviation,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-M-ST-40C Rev. 1']","['E', 'M']"
ITU-R,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
ITU/RR,abbreviation,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50C Rev. 1']",['E']
ksps,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
LHC,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
Msps,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
NRZ-M,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
OQPSK,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
PFD,abbreviation,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50C Rev. 1']",['E']
Q-DNRZ,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
QPSK,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
RHC,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
RS,abbreviation,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-20-01C', 'ECSS-E-ST-20-07C Rev. 2']",['E']
Rchs,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
RES,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
Rx,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
SEF,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
SFCG,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
SHF,abbreviation,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-20-07C Rev. 2']",['E']
sps,abbreviation,['ECSS-E-ST-50-05C Rev. 2'],['E']
